citing_paper_id,cited_paper_id
007ec3c70cd471d593f583df13844c37e9ddf5c9,00d4d065630a7501dad4d9e629058496ebd71f02
003020856c6cfbdecb7f71ca8fb53bfa75e2efec,0052963c46c261075548f0bbd8f645187e21424d
00d9f928a5b3ba979a24b7c96b4aaa0b1312fd94,00b6acb4b31f7f7d0b1a5806606e5801844de04a
00d44e38d33314d5c4586ee6ddc5e1adcfd600c7,00f09c67d70f66526d781791773ad3214a00833f
00511b1530a5d7c420525f39fe51f5e360fd9986,0012be5d3d625717ebaabb4aa5c7ff854dc16a5a
0011467a75469d9751eab6897a400de8bd47da95,00bdb628fe99f6bf95a391536287ce8a7bf7ac28
00a0ab5cb246dfe5deb0e1bc532e9075c93ac47d,00b823c0abf583221d144c99a1907538238286f9
00ac82663594aea023766c49bbd948a9aaa1db66,00fcd516fd78f6d8454e6b69eeca2838312a184b
00187d19b25733bb719036b272b4d5c79fcde8ba,007307c56f4fab0c24f938fe2dc5ce92134de115
0010dc7c60266211bfe681a3523ccba178865571,0025c81a4d8e3418fc39d1faa1cf4edffe1b4bc2
00272f6b12f14c759dae2d3f7a82906211e9065c,007a3f633a490bfb748773e3f9f53dc9b6704cda
00be4e7aa8523998e8be4ccd22a0189d736bd0a9,00570121839e4393311275377b94c89c814f0d8a
0058d91e8d2799b55ab22233742971fda16d32e6,004d05ffd04a23acb501ca9c112d7276245436dd
008f7e5f77e1208361d3f691e67d69287d87a48b,0001737302ae273dd1b7d3f144909c2d3f197a2b
00927c60fbe742ce6a9c3e3a12bcb2463560ac66,006ed4d4deee66fe538781b20de1e33a26b8961d
001c66a7b7e45eb39b67b070f1aa9ea90623c588,000d0a52ce890a794b16d3379f96c6cbb7e0acaa
008305e2a552b4a445d96e42b9a2dfc7d4f7d887,00fc06a3f85022dc1aa9b7fb71c21cb3162f5611
00307d7238dd5f37e1a4f2efe25284cc25adac3a,002e684c5f8bf01a331c839a1877dbfdd1fd2610
0102cf6a9bc3d43ca415dc23f278152a3d9e7340,009c69158bdcccc22291af3c5dfbef9ebda15341
00fec7edf909505a95339a60f03a9977667bcf64,006de41a838dc88b0b654781ce795aca5344d2d2
006687608797a367dc1307c89ded8a54a3a7a618,0012e96340682203c41c5c2cfe104f2df842f6b0
00c02ed1f94dca0ff875b8898e0aaefffb20d522,005baabab9daded9783117b652832cc06c18ccdb
00702af7d76865b8aa4232aeabdf6e42aed44b8d,007f189ba93cb0ad1d4dcca582eda86190e11712
0034e0660204c8d026cb4b2abae76d78a3794330,004eb90f61a259920118ce5b950b84ca502de1f8
00aec678b5562500b47f9e05bf5f8983d8c18f2c,0054fd46347666df33209aa6e55d99c3df365d3b
005f7a00373d8ee538fc5d88254d0fe7520a7f86,00af8af1e7004a47ce077f4011911a247baa1dd3
007a7b1abc85d2aceeb86f1a7c2774789ebbac35,0084f3cb0a1754272151c5268a783f24bf5676a0
